area,bedrooms,bathrooms,balcony,location,price
1360,2,3,0,Mumbai,50705000
830,2,2,3,Mumbai,30945000
630,1,2,3,Mumbai,25085000
3058,3,3,3,Mumbai,151405000
2306,3,4,2,Mumbai,132400000
2028,3,3,0,Mumbai,111460000
3388,3,4,3,Mumbai,92660000
3112,3,3,3,Mumbai,220815000
1978,4,5,2,Mumbai,84910000
1521,4,4,1,Mumbai,76010000
2000,5,6,1,Mumbai,106985000
1315,2,2,3,Mumbai,49840000
1516,5,6,0,Mumbai,82390000
2764,3,3,0,Mumbai,132620000
1680,5,5,2,Mumbai,40630000
3195,3,4,0,Mumbai,116605000
891,3,4,0,Mumbai,37150000
2682,5,5,0,Mumbai,170885000
1002,2,2,2,Mumbai,24065000
2070,3,3,1,Mumbai,133065000
3190,4,4,2,Mumbai,149670000
3439,3,3,2,Mumbai,206525000
1063,2,2,0,Mumbai,36470000
1040,2,2,2,Mumbai,25790000
2319,5,6,0,Mumbai,125180000
2143,3,4,2,Mumbai,90430000
2163,5,6,2,Mumbai,112175000
1806,3,4,0,Mumbai,91725000
1782,3,3,0,Mumbai,120615000
1757,3,4,1,Mumbai,76945000
2131,4,4,1,Mumbai,117595000
2136,3,3,0,Mumbai,68875000
501,1,1,0,Mumbai,25975000
2161,3,3,3,Mumbai,77080000
2233,3,3,2,Mumbai,82885000
793,1,1,1,Mumbai,26155000
2430,5,6,0,Mumbai,101360000
2294,4,4,2,Mumbai,109175000
1869,4,4,3,Mumbai,94220000
3419,3,3,0,Mumbai,72515000
2469,5,6,2,Mumbai,115475000
1123,2,2,1,Mumbai,38660000
3444,3,4,0,Mumbai,183920000
2182,4,5,3,Mumbai,126435000
2601,4,4,2,Mumbai,174985000
3057,5,6,1,Mumbai,245265000
2419,3,3,2,Mumbai,94170000
660,1,1,3,Mumbai,30425000
2027,4,5,0,Mumbai,124125000
1454,2,2,1,Mumbai,30425000
2193,5,5,1,Mumbai,117295000
1297,3,3,0,Mumbai,62560000
952,2,2,3,Mumbai,38095000
516,2,2,1,Mumbai,19730000
3065,3,3,3,Mumbai,195675000
1106,3,4,2,Mumbai,22510000
2800,3,4,3,Mumbai,65270000
2258,5,6,1,Mumbai,116795000
1125,3,4,1,Mumbai,35025000
1284,3,3,1,Mumbai,37790000
2000,3,3,1,Mumbai,102810000
1184,2,2,1,Mumbai,92045000
899,2,3,2,Mumbai,28720000
3274,4,4,1,Mumbai,170765000
1074,3,4,1,Mumbai,37515000
2991,3,4,3,Mumbai,210965000
504,1,2,3,Mumbai,31880000
3370,3,3,1,Mumbai,272935000
1135,3,3,3,Mumbai,39950000
2474,3,3,1,Mumbai,79925000
3338,3,3,0,Mumbai,169595000
3349,3,3,0,Mumbai,170915000
987,3,3,0,Mumbai,42770000
3337,4,4,1,Mumbai,261380000
2179,3,3,0,Mumbai,113635000
2765,4,5,3,Mumbai,225030000
1812,3,3,1,Mumbai,114350000
3349,3,3,2,Mumbai,247090000
2989,4,4,0,Mumbai,157325000
1395,3,4,3,Mumbai,56085000
3237,4,4,0,Mumbai,210275000
1940,4,4,0,Mumbai,89915000
2944,3,3,0,Mumbai,174680000
3396,4,4,1,Mumbai,158965000
2125,3,3,2,Mumbai,128325000
2016,5,5,0,Mumbai,92405000
3308,4,4,3,Mumbai,101435000
2643,3,4,0,Mumbai,101815000
2048,4,4,1,Mumbai,113885000
2403,3,3,2,Mumbai,164230000
2724,3,4,2,Mumbai,140785000
1217,3,3,1,Mumbai,40805000
1890,3,3,3,Mumbai,112000000
1667,4,4,1,Mumbai,53205000
1709,3,3,0,Mumbai,84140000
3205,5,5,1,Mumbai,252105000
3039,5,6,1,Mumbai,150230000
3493,5,5,0,Mumbai,203520000
1945,5,5,0,Mumbai,81550000
716,1,1,3,Mumbai,31605000
2310,4,4,2,Mumbai,102720000
672,1,1,1,Mumbai,18815000
2183,3,3,0,Mumbai,146445000
2895,5,5,0,Mumbai,205975000
1323,2,2,1,Mumbai,55325000
1752,3,3,0,Mumbai,80035000
2594,4,4,2,Mumbai,195465000
1535,5,5,1,Mumbai,57640000
1167,2,2,3,Mumbai,21675000
1039,2,3,3,Mumbai,35735000
2446,4,4,0,Mumbai,194180000
3299,3,4,0,Mumbai,114650000
889,3,4,2,Mumbai,36455000
1528,3,3,0,Mumbai,87630000
2693,5,5,0,Mumbai,126315000
3374,5,6,1,Mumbai,254215000
2652,3,3,3,Mumbai,155065000
3256,5,6,0,Mumbai,158655000
3224,4,4,0,Mumbai,131030000
550,1,1,0,Mumbai,21005000
1380,3,3,2,Mumbai,59190000
1173,2,3,1,Mumbai,37760000
767,2,3,1,Mumbai,28485000
1123,2,2,0,Mumbai,55270000
3400,4,5,2,Mumbai,238375000
3345,4,4,1,Mumbai,103910000
1831,4,4,2,Mumbai,117335000
2628,5,5,3,Mumbai,95425000
1853,4,4,0,Mumbai,84255000
704,1,1,2,Mumbai,30690000
2406,4,4,3,Mumbai,96665000
2219,3,4,2,Mumbai,138020000
592,2,2,2,Mumbai,18665000
1928,4,4,3,Mumbai,75530000
2893,5,5,1,Mumbai,156300000
2796,3,3,3,Mumbai,156645000
2897,3,3,0,Mumbai,194795000
1124,2,3,2,Mumbai,37605000
1138,3,3,3,Mumbai,38005000
864,2,2,2,Mumbai,15465000
1530,4,5,2,Mumbai,52740000
3353,4,4,0,Mumbai,189585000
2154,3,3,0,Mumbai,72830000
2572,4,5,0,Mumbai,149960000
1669,3,3,1,Mumbai,115615000
3295,3,3,1,Mumbai,246195000
3239,4,4,3,Mumbai,86235000
1812,3,3,1,Mumbai,82075000
2026,3,4,1,Mumbai,89055000
3370,5,5,2,Mumbai,161370000
1563,4,5,1,Mumbai,78125000
503,1,2,1,Mumbai,19495000
3051,4,5,1,Mumbai,255555000
1958,5,5,1,Mumbai,125270000
1641,4,4,3,Mumbai,66165000
2637,4,4,1,Mumbai,134985000
638,2,2,2,Mumbai,24325000
509,1,1,1,Mumbai,18105000
2560,4,4,2,Mumbai,181180000
2494,3,3,2,Mumbai,164940000
1618,5,6,3,Mumbai,86285000
1660,3,3,0,Mumbai,72865000
1819,4,4,0,Mumbai,89830000
2817,4,5,0,Mumbai,140095000
2552,3,3,1,Mumbai,172295000
2636,4,4,3,Mumbai,134230000
3347,3,3,2,Mumbai,278245000
2692,5,5,1,Mumbai,90310000
1320,3,3,2,Mumbai,27870000
1702,3,3,2,Mumbai,62690000
2146,4,4,2,Mumbai,143605000
1450,2,2,1,Mumbai,71915000
1016,3,3,1,Mumbai,17655000
2400,3,3,0,Mumbai,155535000
2594,3,4,2,Mumbai,193640000
1293,2,2,2,Mumbai,64115000
2365,3,3,2,Mumbai,152565000
2943,5,5,1,Mumbai,160895000
1484,2,3,2,Mumbai,60375000
1847,4,4,2,Mumbai,99375000
1103,2,2,2,Mumbai,45685000
3326,3,3,0,Mumbai,189010000
2145,3,4,0,Mumbai,120575000
1435,3,3,0,Mumbai,72370000
701,2,2,0,Mumbai,26300000
2125,5,5,1,Mumbai,89905000
974,3,3,2,Mumbai,43120000
1703,3,4,0,Mumbai,47895000
784,1,1,3,Mumbai,31655000
1348,3,3,1,Mumbai,33565000
841,2,3,0,Mumbai,24475000
1489,3,3,2,Mumbai,42485000
2579,3,3,0,Mumbai,234840000
2565,3,4,1,Mumbai,102845000
693,1,1,1,Mumbai,19365000
2420,3,3,2,Mumbai,140995000
1299,2,3,1,Mumbai,46785000
2323,4,4,0,Mumbai,126545000
812,2,2,2,Mumbai,52825000
3308,4,4,0,Mumbai,190225000
1787,3,3,1,Mumbai,106805000
951,3,3,1,Mumbai,41615000
3282,3,3,1,Mumbai,106000000
1013,3,3,2,Mumbai,57810000
1245,3,3,2,Mumbai,58625000
1433,3,3,0,Mumbai,36700000
3487,3,4,3,Mumbai,240285000
627,1,1,0,Mumbai,24635000
3073,4,4,0,Mumbai,143840000
3041,5,5,0,Mumbai,150970000
3157,3,3,1,Mumbai,233950000
540,1,1,0,Mumbai,22060000
1901,4,4,1,Mumbai,92115000
2815,4,4,1,Mumbai,194405000
2208,5,5,1,Mumbai,103290000
2345,4,4,3,Mumbai,130855000
1894,3,3,3,Mumbai,104030000
686,1,1,1,Mumbai,26320000
554,1,2,0,Mumbai,12315000
1250,2,2,2,Mumbai,47965000
864,2,2,1,Mumbai,33915000
1438,2,2,2,Mumbai,82155000
630,1,1,2,Mumbai,28825000
2822,3,4,0,Mumbai,95035000
1540,5,5,2,Mumbai,82260000
2250,4,4,3,Mumbai,164850000
3013,3,3,1,Mumbai,173095000
1277,2,3,1,Mumbai,45735000
749,1,1,2,Mumbai,32970000
2021,3,4,2,Mumbai,106070000
1489,2,2,2,Mumbai,38250000
2735,3,4,2,Mumbai,170620000
3483,3,3,2,Mumbai,213015000
1872,4,5,0,Mumbai,44125000
515,1,2,1,Mumbai,24030000
2414,5,5,1,Mumbai,135405000
2532,3,3,0,Mumbai,84035000
2924,4,4,2,Mumbai,185120000
839,3,3,2,Mumbai,17765000
2533,3,3,0,Mumbai,129905000
